,Date,Notice_title,Reference_no.,OCID,Published_by,Deadline_date,Notice_type,Url
0,22-08-2022,C001936 Digital gateway and coaching support for the ‘Coaching for Wellbeing’ service for those who work in health and social services sectors in Scotland.,AUG456970,ocds-r6ebe6-0000680523,NHS Education for Scotland,,03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456970
1,22-08-2022,C001961 EMBEDDING ORANISATIONAL PERFORMANCE METHODOLOGY,AUG456967,ocds-r6ebe6-0000694592,NHS Education for Scotland,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456967
2,22-08-2022,Award of Fleet Tracker Services,AUG456966,ocds-r6ebe6-0000703088,North Lanarkshire Council,,Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456966
3,22-08-2022,Supply and Fitment of Tyres for Vehicles and Plant,AUG456964,ocds-r6ebe6-0000665979,Scotland Excel,,03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456964
4,22-08-2022,The Provision of Cleaning and Associated Services for Glasgow Clyde College,AUG456957,ocds-r6ebe6-0000702183,Glasgow Clyde College,21-Sep-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456957
5,22-08-2022,City Hall Web and Branding Brief,AUG456954,ocds-r6ebe6-0000703978,Culture Perth and Kinross Ltd,12-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456954
6,22-08-2022,Artificial Intelligence Software for NHS Scotland Radiology Imaging – Dynamic Purchasing System,AUG456952,ocds-r6ebe6-0000704222,"The Common Services Agency (more commonly known as NHS National Services Scotland) (""NSS"")",21-Sep-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456952
7,22-08-2022,Data Analyst - Procurement,AUG456950,ocds-r6ebe6-0000704216,Scottish Government,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456950
8,22-08-2022,General Maintenance Term Contract - North Argyll,AUG456949,ocds-r6ebe6-0000689821,Argyll and Bute Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456949
9,22-08-2022,CE-44-22 - Hire of a Forestry Team,AUG456945,ocds-r6ebe6-0000694811,South Ayrshire Council,,03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456945
