,0,1,2,3,4,5,6,7,url
0,22-08-2022,C001936 Digital gateway and coaching support for the ‘Coaching for Wellbeing’ service for those who work in health and social services sectors in Scotland.,,Reference No:AUG456970,OCID:ocds-r6ebe6-0000680523,Published By:NHS Education for Scotland,Deadline Date:,Notice Type:03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456970
1,22-08-2022,C001961 EMBEDDING ORANISATIONAL PERFORMANCE METHODOLOGY,,Reference No:AUG456967,OCID:ocds-r6ebe6-0000694592,Published By:NHS Education for Scotland,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456967
2,22-08-2022,Award of Fleet Tracker Services,,Reference No:AUG456966,OCID:ocds-r6ebe6-0000703088,Published By:North Lanarkshire Council,Deadline Date:,Notice Type:Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456966
3,22-08-2022,Supply and Fitment of Tyres for Vehicles and Plant,,Reference No:AUG456964,OCID:ocds-r6ebe6-0000665979,Published By:Scotland Excel,Deadline Date:,Notice Type:03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456964
4,22-08-2022,The Provision of Cleaning and Associated Services for Glasgow Clyde College,,Reference No:AUG456957,OCID:ocds-r6ebe6-0000702183,Published By:Glasgow Clyde College,Deadline Date:21-Sep-22,Notice Type:02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456957
5,22-08-2022,City Hall Web and Branding Brief,,Reference No:AUG456954,OCID:ocds-r6ebe6-0000703978,Published By:Culture Perth and Kinross Ltd,Deadline Date:12-Sep-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456954
6,22-08-2022,Artificial Intelligence Software for NHS Scotland Radiology Imaging – Dynamic Purchasing System,,Reference No:AUG456952,OCID:ocds-r6ebe6-0000704222,"Published By:The Common Services Agency (more commonly known as NHS National Services Scotland) (""NSS"")",Deadline Date:21-Sep-22,Notice Type:02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456952
7,22-08-2022,Data Analyst - Procurement,,Reference No:AUG456950,OCID:ocds-r6ebe6-0000704216,Published By:Scottish Government,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456950
8,22-08-2022,General Maintenance Term Contract - North Argyll,,Reference No:AUG456949,OCID:ocds-r6ebe6-0000689821,Published By:Argyll and Bute Council,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456949
9,22-08-2022,CE-44-22 - Hire of a Forestry Team,,Reference No:AUG456945,OCID:ocds-r6ebe6-0000694811,Published By:South Ayrshire Council,Deadline Date:,Notice Type:03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456945
10,22-08-2022,Award of Data Analyst - Procurement,,Reference No:AUG456941,OCID:ocds-r6ebe6-0000701537,Published By:Scottish Government,Deadline Date:,Notice Type:Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456941
11,22-08-2022,Asbestos Removal and Asbestos Analytical Work - University of Aberdeen,,Reference No:AUG456938,OCID:ocds-r6ebe6-0000703857,Published By:University of Aberdeen,Deadline Date:21-Sep-22,Notice Type:02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456938
12,22-08-2022,ETZ Masterplan ITT,,Reference No:AUG456937,OCID:ocds-r6ebe6-0000658412,Published By:Energy Transition Zone Limited,Deadline Date:,Notice Type:03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456937
